author,message message
melds melds,"ok ok I am here morning everyone sorry to have kept you all up We will be issuing a warrant for his arrest............lets hope "Mr Mashaba Refusing to appear is a clear sign that you are guilty of something........... "yes Chair "Zuma is going ""he he he he"" while watching this and sipping his tea" Auswell meant to be All is well? Will be changed to Ausnotwell Morning @Mfundo  They all think they are above the law.............. "Too late "You stole our money "Zuma knew what he was doing @Mfundo the report has to be completed by then @Valencia J I agree @Sabelo Nxumalo Zuma's treasonous actions as he set an irresponsible example @Sabelo Nxumalo google it @Mfundo EXACTLY!!!!!!!  "I did Thank the LORD he is not my father @Sabelo Nxumalo that has F ALL to do with this commission boetie "@Sabelo Nxumalo hahahahahaha I see that have you brainwashed too............wonder what happened to all the soe's I have identified my first lucky 123 candidate for today @Zweli Mkosana and he continues to set a very bad example lol @Valencia J done! "@Zweli Mkosana he is like a child that blames it on someone else "hahahahaha @Pastor J.J you noticed @Mfundo the commission requested that he has until end March to appear or to go ahead with the arrest warrant such disrespect to Zondo CRIMINAL I mean I agree @Mfundo  Mashaba is now looking for a plane "Yes @Mfundo and asked Concourt that if Zuma TWIT does not come by end March heya @Previous Nkopodi  lol @Pastor J.J  I agree @Mfundo  ok who of you tried to phone Chair??? "Mr soni is his name you can google his credentials @Santa Kriel  you welcome fraught or VROT hahahahaha @Valencia J I also heard that yes @A K Silamuddin that must happen IMMEDIATELY heya @Tommygun you still entertaining that troll??? @Lorna Kavanagh they do but do not care no hope for that one @Tommygun  @Lorna Kavanagh LOL Low cost housing perhaps Also in an area near me @Barbara Sattler  Mr soni is not happy today they have all been burnt @Mumbi banda  he would have exploded if he had redbull @Mfundo  Ah tea yes and they should be @Diana Sekatane as they were responsible to look after our state assets and the tax payers money PUBLIC OPION - Is the ANC guilty or NOT? "@Sal SA block that troll "ok @Thami Mak'nyiwe Mhlanga so how else will we know what happened to our state assets found my second 123 candidate for today Tito's address today: We have found another avenue to collect funds for the looters............vaccine supply 20 percent of the tax bill is spent on repaying loans hahahaha @Pastor J.J  "@Mfundo unfortunately @Thami Mak'nyiwe Mhlanga oh dear........another one who has not been following the evidence led in this commission......over 40 witnesses have named your trash master "@Mfundo they begging for investors to come invest @Sal SA they have been saying that for years..........nothing changed if that happens will be the final nail in the coffin @Mfundo  "@Jenny Whitewaves it is never enough yes AND they are useless @Mfundo  jirreeeee VERY high number and their bank accounts @clive oconnell  "so ZUMA supporters "just in case the minister is having tea "BTW noooo they too busy with other urgent matters @Mfundo  you give them credit @Andre Gerber with ears EXACLT @Mfundo  "@Stix Mtolo absolutely I agree yip @Heather Durr  How is the teethies @Heather Durr  What about the Guptas @A K Silamuddin  They apparently busy with that @Cyril Grönemeyer  He is so sweet this EL Another fame seeker @Heather Durr  Unions and their antics yes he already said that Mr soni Follows da moolah we miss you too @Naledi Barron  okie dokie  no he did the forensic audit @Danile Ngubenyathi  He was asked to come give evidence @Danile Ngubenyathi  Hawks were also bought off You welcome we all know the Hawks were useless yes @Tommygun  @Heather Durr rather ask what were you NOT up to hahahahahhaha @Heather Durr much enjoyment from those jabs you had earlier LOUDER please "@Gugulethu Xhosans without a doubt "It is so frustrating when you put so much time and work into a project and nothing come from it because it just gets dumped into a drawer Candidate no 3 found for the 123 @MARTIN ENGELBRECHT not really yes I saw @Teunis van Ree  interesting "I doubt it @Danile Ngubenyathi he was just a feeder that is where they put the spoke in hahahhahahha a little alien @Heather Durr  will be interesting @Danile Ngubenyathi  today @Valencia J  eeeeeeeekkkkkkk blurry screen Focus @SABC News  "My eyes are stuffing out thanks @SABC News better now no bad again @SABC News  Chair has to throw up quickly jirre @MIKE DURBAN 123 already dude Dog Feet will try and tell him to keep quiet I think oh and head of legal is there............what is going on down there? Why is Dog Feet Molefe still at the commission and now talking to sacks? "@Heather Durr surely they do not hand it in in the ""court"" toom" room hope it was not meant as soft intimidation for the whole world to see "anyway why you here then @Bongani Gwamanda candidate no 4 for 123 TV now "hectic ok be well @Bongani Gwamanda  Me too @Louis C you forgot to add me to the best list yes thanks @Bongani Gwamanda thought you were gone already oh ok "oh Groot kakkies going down in CT saftu denied permission to march and are now tussling with the police whats not to want to march for hahahahha we all want to march that true here come the bank account numbers HAHAHAHAHAHA @Maboko S of course you do Racism claims is a sign of the lazy brain The Minister Peters stopped the investigation at that point and water cannons if you are white @MIKE DURBAN  and THAT is when the investigation was told to stop no it is apartheids fault @MIKE DURBAN  hahahahhahahahahhaa @Quinton van Eeden  where are the Zuma supporters now??? hahahahahhaha okie dokie he did @Mfundo without a doubt but they stopped the investigation before that could come out.......By Lucky's best friend the minister Chair will get it "No leave the Hawks out of it "If the commission asks for the info you have conquered apartheid @Kgabi Nyao  it was abolished 27 years ago @Kgabi Nyao  yes she did Why did they not do this months ago???? "@Kgabi Nyao no it is now Black on White  lol @Heather Durr  the NPA needs this info the siu very cheap whiskey now @Louis C  guys stop entertaining the troll he cannot listen he needs to listen to this "you guys are distracting Ndlovu from listening I wish they would @Maboko S  hahahahhaa 20 days all so much experience hahahahaha "All politicians loot "GM ALL He want to remain unseen hahahaha Just forward supplementary affidavits if you want to make changes to it........jirre not rocket science Exactly Heather Especially if you signed it already before a commissioner of oath someone signed before a commissioner of oaths.........it cannot be changed now surely lol @zip reeper  "Finish and Klaar yes via a supplementary affidavit @Sal SA  The lawyer knows that surely and should have advised his client accordingly @Sal SA ??? crazy I have never heard this before "Tiger Woods was trying to follow his golf ball and went off course DCJ loves his spray I loved it when soni said he would love a house for 5 mill never mind a kitchen I should have had this guy do an investigation into my ex-husbands bank accounts years ago before he became my ex lol a bit late for me now @Khustaz Mtwentwe lol Goodest morning to you @Teunis van Ree  "I thought he said ""fffing my head""" lol ooooops "They spent it as soon as it came in He should be in JAIL Also helps if you have an analytic mind like this witness @Kgabi Nyao they have had fancy trips in luxury places and bought mom of mom of mom things with a hand shake agreement  "Remember guys The hawks should have continued without interference "Yes too with everyone else exactly @Heather Durr people seem to forget the personal liability clause I wonder if Chair goes home and just shakes his head non-stop "This Chair is UNBELIEVABLE I agree @Khustaz Mtwentwe  hahahahaha @zip reeper  "If they would only sideline ACE now They want to make as much as they can out of the current international covid crisis......look at our own Minister of Health......he was first in line with COVID lol @zip reeper was funny though "@Kevin W if only the people of this country would stand together and say enough is enough that does not help the people they leave behind who are seriously suffering and will continue to suffer as a result of their wrong doings @H A L O  A coup is the only way "They still steal so blatantly it I think it was an insult that grant  "It is easier to control an uneducated nation "@Stix Mtolo They will NEVER retrieve all the money "I wish this information was out there in the public how zip? "I am an ""old"" white lady "you will see in the news one day pinicky or finicky hi @Previous Nkopodi trying to stay calm lol I really cannot believe this all anymore "I think seeing the health minister being implicated in 82mill routing this morning AND the empty ssa plane to fetch vaccines was also a little irritation @Previous Nkopodi because they will not tell us how much that is costing us tax payers @Roza E for half way in fuel bill yes @Stix Mtolo absolutely no business acumen left in this country @Roza E maybe I have become too cynical but it does not sound accurate "Zim wanted their country back Maybe going into plumbing is the way to go with all the shyte going down Now they will falsify their certificates "oh dearest @C S if only it was managed correctly @Bongumenzi Nxumalo End June this year "Yip exactly @Ismail Petersen it would have worked if there had been integrity IMMEDIATE being the core word I was kidding @Bongumenzi Nxumalo mid March I believe Montana will give the commission nothing lol I have to try have some fun but realise that was not nice sorry @Bongumenzi Nxumalo  "yes @Lerato Moleke I did tell dear @Bongumenzi Nxumalo mid March too much @Roza E  @N N Mashaba @Roza E I dont think with prasa or not this specific contract They have all left the country DCJ BEE does not allow for it anymore DCJ "@Roza E given the chance I know @Bongumenzi Nxumalo the question is WHY??? Like Ace etc etc etc "People are turning to alcohol "And yet Mpho Thobane sentenced to 20 years for killing his girlfriend and setting her on fire He keeps looking into the camera with feel sorry for me eyes - death penalty FOR sure He is an animal yes @Maboko S if only we could I cannot wait for the liquidators evidence Mr soni has very high morals!!!! lol @Maboko S you so right re death penalty "its fictional @Bertram Fuscher one would think @nkosingiphile ndlovu yes his company was lol @Stix Mtolo  "@Rene Ngwenya yes oh wow I did not know he worked on that @TW Ntshingila  they have no shame @Shirley Tilley  @TW Ntshingila says much for cosatu soni loves this forensic stuff I agree @Kevin W  Private counsel charges more in state litigation compared to private.........who would have guessed "@Rene Ngwenya I know he did his schooling here when he arrived in Grade 1..........my point is he has no papers nor an identity document @Sal SA subpoena for information I think  @Rene Ngwenya He is not south african "apologies @Diane Louw apparently not as he admitted in the email he drafted and sent through to the university asking them to accept him without the papers I agree @Diane Louw  @Cyril Grönemeyer he was an easy target @Owen Nyilika now there is the answer you just gave "@Neil Paterson they have been harder on him than any other who has been implicated and charged "hahahahahahhaa Mashaba on 80BILLION 8 billion is NIX 8 Million I mean BLOCK BRIGADE coming up heya @Antoinette Meyer  hahahaha me neither in my lifetime @Bertram Fuscher  "enjoy lunch
Stix Mtolo,Greetings to all "@Louis C "@Valencia J "@Valencia J "@Mfundo "@Heather Durr "@ Jenny Whitewaves "@Gugulethu Xhosans "@ Cryl "@Valencia J "@Valencia J "@Heather Durr "@Pastor JJ "@Pastor JJ I hope DCJ won't adjourn for the finance speech 🤔 EL intelligence! slow poison @ Cyril😂 Greetings all The camera person is captured "@Teunis van Ree "@ Gugu Xhosans @Heather Durr 🌹 @Lerato Moleke 🌹 @Valencia J 🌹 "@Diana Louw @melds melds 👋 "@Sal SA "@Pastor JJ "@Sal SA "@Heather Durr "Big amounts "@Valencia J "@Akhonamandla Gala This witness looks so calm and confident 👏 "@Valencia J @Valencia J 🤭😂 "@Valencia J "@Valencia J The bailouts to SOEs must be stopped with immediate effect "@Teunis van Ree "@Lalitha C "@Teunis van Ree "@Thobile Nkosi EL moving his hands like a choir conductor 🤔 "@Lalitha C Surely they must have find other ways to invest these monies in some offshore schemes Only R63 mil recovered by the liquidators thus far versus the billions stolen 😭 "@ Halo "@Previous Nkopodi "@melds melds "@ NN "@ N N @Naledi Barron 👋 "@Sal SA Oh I thought his talking about Dr Nomboniso Gasa "@ Maboko S "@ Shirley Tilley "@Kevin W "@Kevin W "@Kevin W "@ Owen Nyilika "@Pastor JJ "@ Sal SA Lunch loading.... "@Pastor JJ "@nkosingiphile Ndlovu
Tommygun,Mornin all THey talking about Auswell Mashaba? ta "Nice "So its Mashaba who thinks its not legal @Zweli Mkosana That he has trouble containing his more basic urges... "@Mpho Kubeka not too much focus on them "@OS Muzik thats a bit harsh @Ndumie Ndlovu how much did you contribute to the wasted 3.2 billion for trains? Would you not it rather spent on...maybe trains that work..or toilets? I wonder how much of the Billions Mashaba got paid into the ANC coffers "@Owen Nyilika THnx "@Ndumie Ndlovu Well @Ndumie Ndlovu Was BOSASA not a white owned company if you want to bring colour into this again rather than just criminality? ANyway we more focused on tax payer money getting wasted. @Ndumie Ndlovu and if you or your friends have any evidence of dodgy white Companies and state capture give it to the comission..give it to the press...publish it yourself. All you need is evidence. @Ndumie Ndlovu What does that even mean? Against the WMC before 1990? @Jenny Whitewaves Its not a bad term tho and it may have some relevence if properly defined.... "@Lorna Kavanagh Yeah Shalom "Shame @Cyril Grönemeyer UAE may not have extradiditon treaty? Release the witness! Did the PRASA board not ignore all Werksman reports and try sqaush re 'Regularising' their relationship with Werksmans @siyabonga mdluli i THINK THEY HAD TO ALSO BUY UNSUITABLE TRAINS WITH THE CASH? ooops...sry is this a case of bank has R20 in it when opened then 3.2billion by end of business... @Pastor J.J it is....herd it called the passion gap... Shlda just let witness give his executive summary at the start then drill down. Sure hes told it a million times at braais...got it down pat. "@C S And yours cant believe Im all alone here with 3 mins to go....
Kevin1,@FieliesSA @melds melds gm guys I like EL Soni as all EL's  @Pastor J.J 🙏 This guy must now be arrested - total disrespect for the law - his legal advisor must also be censured  @zip reeper agreed The attorney must get hammered as well "Read the address Criminal - will get arrested - GO FOR IT The attorneys' advising these criminals to defy the summons must be called before the Legal Society (as SAICA does for the CA's) and debar them "The HAWKS and SAPS etc know all about these criminals @Mfundo it brings tears to my eyes All these reports just get shoved under the carpet - even the Hawks are a massive problem "@Valencia J If all these elements are bad Need to know the second level of flow - corruption owners R400 million feeding money That is it DCJ - tell the Hawks to authorize the completion of the investigation Gerrie Nel would put all these guys behind bars very quickly if given the mandate @Andre Gerber agreed - they scared of him @Louis C exactly - we all know these criminals are guilty but nobody is doing anything about it - Gerrie Nel will sort them out Gm all @Heather Durr Hi H Here we going to get some DETAIL - hope the culprits start quivering  @melds melds lol  The recovery of this stolen money should be collected today for goodness sake "2013 is 8 years ago Adv Soni - dont die on us just yet Unfortunately most of the BBBEE deals represent middlemen these days - price inflation and the enrichment of a few is the result Who at the Hawks was responsible at the time? - he should also be arrested "Well Well done DCJ and EL for opening all this up - action now needs to be taken @Spencer K The WHOLE apple tree needs to be cut down @melds melds you so correct - so where to from here "@melds melds unfortunately @melds melds 100% correct "Well @Rahab Takalo Zuma and the ANC were getting their share of the stolen cake at the time - probably still eating Absolutely Adv Soni "These criminals should not be afforded ""hard labour"" as the sanction - it is treason "@Stix Mtolo and that involves cusshie lifestyle
Pastor J.J,"I wish you all a Peaceful @FieliesSA The bottle had a leak. Why cant the DCJ in his Capacity as a Judge and not the Commissioner issue and authorise a Warrant of Arrest.????? "9 WASTED YEARS. Mahatma Gandhi once said "" If we have an Idiot leading Government then those who voted to elect him is well represented"". Apt and true" @Sabelo Nxumalo Sorreeeee Bra. Your comment came thru after she blocked you. I have just signed the Warrant of Arrest. Someone please fetch it from me and do a Citizens Arrest pleeeeeeez Some please send Carl Kakhuis and a few of his sidekicks to take a tent and camp outside Mr Mashaba's house until the food runs out @Santa Kriel So true and apt @Previous Nkopodi Greeting brother of mine "@Cyril Grönemeyer His parents @Louis C The Rapper boy is packing a small bag enroute to tronk. Its happening @Mumbi banda I will send you a handcuff and orange overalls. Thats the new regalia for the ANC "Carl ""Kakhuis"" Niehaus...anyone whos uses this name henceforth must be paying me a Royalty fee. only 50cents a time" @Cyril Grönemeyer I checked with my contacts at the Pearly Gates and Gavin never pitched or signed the register @Cyril Grönemeyer same here Bro GAVIN IS DEAD.My contacts at the gates just sent me a Whatsapp saying the skelm was a late arival.Leave Gav alone now whilst he checks in and they process him.he was directed to Gate2.For the bad okes @Valencia J .Queenie leave Gavi boy alone to enjoy whats behind Gate 2....Yoh its hot today @Cyril Grönemeyer They only found a R50 note in his pockets @Andre Gerber Your spelling is poor today Bro. it is Mr Kakhuis @Rubin Naidoo Ja with some boosters bro @Ismail Petersen Was it close to the Bermuda Triangle? @dude cool and what happens if my father was a drug dealer? @Stix Mtolo Yes Bro. But you must attend wearing Pink @Valencia J I need to ask a question pleeeeez @Tommygun @Cyril Grönemeyer hahahahahaha @SanFran Arnold Welcome and Greetings Darling @SanFran Arnold Can I ask you the same question Queen B? @Umar Singh naughteeeee @SanFran Arnold Why do so may people in CT go and have their front teeth plucked out? Is it a fashion statement? I am asking again bcos i got so many versions @Umar Singh No Bra. we all drink the same water and I have a full set @SanFran Arnold Now now now...what is a fashion gap. never heard Foschini selling that @Sal SA Where is C from? Maybe she will tell us the truth @SanFran Arnold sorreeee but I am old and clueless @Louis C Thats the 8th Wonder of the World. Toothless wonders @MARTIN ENGELBRECHT Brilliant...I tried saying it and got a klap from the old lady @Teunis van Ree I chose to remain silent @Louis C Very true.  @Valencia J Queenie Darling. You must not blame me foe asking the question. I asked permission first and you said yes and then I asked. I withdraw the question forthwith @Kgabi Nyao Why you marching Bra? Are you in the Drum Majorettes or something? Just asking for a friend @MIKE DURBAN Can I join too? @melds melds Please leave my Oupa JvR out of this OK @Val Speirs Do I interpret that to say that Apartheid saved us a bit? are you serious @Val Speirs Remember Herschel Rhoodie and Infogate. They had many many skeletons tooo. Lets say it like it is and was. They were not much better than the ANC led Govt me too Greeting to you too. All of you @Diane Louw Greetings Dear Diane @Valencia J Greetings my Dearest Queenie. I have no questions for you today. @Sal SA Greetings Bro @Louis C Greetings my Brother @Teunis van Ree Greetings Dear Prof. Greeted you earlier Bro. "If Zuma and Julius was deserted on a Island @Kevin W Berning Ntlemeza I think @Khustaz Mtwentwe !00%. Cadre deployment @Roza E And what about the 10% they paid me? @Naledi Barron Blessed Greetings Dearest Naledi @melds melds That is why GBV is so prevalent. Life is 20 years. What a shame @EMANUEL KGAPHOLA Absolutely @Cyril Grönemeyer Greetings. Agrizzi confessed to a crime and thats different from a whistleblower. He cam clean as they say @Stix Mtolo The case was last week.Postponed
TheMzolo,Evening everyone from Lorne.. It takes one person to set a precedent.. And the rest will follow.. Act now..
Sal SA,HAVE HIM ARRESTED TOO DCJ. THIEVES!!! "Eventually we'll have ""uBaba and the 40 Thieves"" behind bars" Adv Soni is a brilliant and methodical legal mind. Keep up the excellent work Poor legal advice from his counsel Morning @Valencia @Pastor J.J. Hope u well bro. I think it's better if warrant is issued by a court to create impartiality on a very serious action @Mfundo. And the looters are led by uBaba Zuma who proclaims to be the Father of the Nation. Which father steals from his children? @Valencia. Yes and his followers too @Mfundo. Very sad. There are none so blind as those who refuse to see. @Mfunfo. People like Sabelo are sell outs. Let it go. @Mpho. I doubt they will appear. They are not implicated by any witnesses so far. DCJ u cannot allow this criminal behavior n set a precedent They gonna out of MK vets to guard these criminals run out T break - back 11h15. "@Ndumie. U may not care about the money that was looted GAVIN IS WITH ELVIS 😇 @Valencia. Excellent PI there 👀 "@Lorna. That's nothing new gal. We have looters @Lorna. Yes we just block them because they holding up the arrests "Tax will remain unchanged "@Melds. Now Tito will cut essential services "@Ismail Petersen. I'm going out on a fishing charter Typo. Will look out for Gav Shalom / Salaams- welcome guys @Heather. Yes thats taken care of after a bit of background Sub committees for ministeries should oversee SOEs in their portfolio. @Valencia. He worked on VBS forensic investigation @Valencia. Is there any truth that it was because of eating too much snoek Thanks QueenV @Pastor. Its probably because some so of the sound so much better. For eg. jou ..... words @Pastor. You too hot bro @Umar Singh. Lets just blame apartheid @Bongani. Go play outside with Carl Kakhuis. Adults are busy here @Maritime. We don't anyone else to blame for alzeimers in Kzn @Bongani. Because we don't communicate much with Nkandla 🤣 Which witness is requesting this change? @Melds. Thank u "@melds. It will probably depend ""to what extent""" interesting development indeed But errors have been changed in the past @melds. Correct @Q & A. They giving free airtime at libraries "@Stix GM @Pastor J.J Hope u well bro @Mali. Welcome @Valencia. Are u well skattie 🙂 @Valencia J. In future I'm sleeping with one eye open @Valencia. Brilliant idea 💡 "With such incriminating evidence WL & MKM Vets not relevant @Heather. Hi 🙂 @Terence Nzuza. uBaba set up this commission to investigate himself with set terms of reference. So maybe arrange to join the tea party n ask him @Ismail Petersen. Salaams hope u well. No much activity from the RET brigade. Out buying tissues to dry their tears @Heather. is there recourse to third parties that received payments from Swifambo? @Heather. Probably it may classify as proceeds of crime @Heather. Ta "Its mind blowing how they paid such massive amounts in advance. Normally Letters of Credit are used for imports Then arrest the Minister "@Eddie. Well the President get the final report They can get shareholding from the auditors Thats what we did at the bank Call Dr Gasa to testify They say a fish rots from its head. Thats what happened in our country. Directors must be prevented from holding public office ever again @Melds. Pity we don't have the death penalty Death penalty exists in certain states of US @Maboko. Scary Yes "@Rene. There are so many in that situation "Money for more hospital staff Its not allowed to change a bank account name of an entity that's liquidated. The bank must be investigated @Diane. Thats a no no @Walter. Thank u 🙂 Aggrizi was Gavin's handler @ Cyril @Cyril. The case has not been finalized "@Cyril. He should not have applied for bail. Free accommodation "@Cyril. Agreed @Stix. For some the wheels of our legal system turn very slowly "@Roza E. Oh no "@Roza. Be strong @Roza 🙏🙏🙏
Mfundo,Seems like is everyone is following on Zuma's foot steps  If people can just ignore the summons just like that 🤔  Is it just for today or ? "This evidence leader looks very old "@Moonchild "mafuta "lufuno shumani muloiwa "Lerato Moleke "sibongile matlala "Moffat Segal "Lerato Moleke "lufuno shumani muloiwa "melds melds The commission will now end in June with the 3 months extension  "lufuno shumani muloiwa "melds melds "melds melds "lufuno shumani muloiwa "Sabelo Nxumalo "Sabelo Nxumalo "Sal SA "Sal SA "MY DNA CHOICES Who knows if the warrant of arrest has been issued to Zuma? "Pheladi Lamola "melds melds DCJ brought this to himself why he does not want to arrest these delinquents  "Pheladi Lamola "melds melds 3.5 billion rand contract and he does not want to appear this should be a straight arrest ayi "Melds Cyril is calling DCJ lol "Ndumie Ndlovu "Kevin W "melds melds "Kevin W "dude cool "Director at Crowe Forensics "Thami Mak'nyiwe Mhlanga "melds melds I think corporate tax will increase  I see the sin tax rising again  Better run to the stores quick  "dude cool "melds melds "melds melds "clive oconnell This dude is going to nail Luck Montana  "melds melds "I think only a few needs deputy ministers like finance melds melds. lol tenders  "Stix Mtolo "Heather Durr "siyabonga mdluli Hi Naledi "siyabonga mdluli Did he have a copy? Those recipients were ANC caders and the hawks could not risk that info same modus oparandi like SODI "dude cool maybe hong hong can do nope Minister Lindiwe Sisulu Read Mashaba's book the accidental mayor VBS when is the EFF coming to testify 2.6 billion wow @lucky montana "look this guy just gave us evidence Chair needs a loo after hearing 2.6 billion  This is a joke what did the Hawks do with this report ? South Africa is a joke indeed Sifambo was another Black head consulting We need Sodi and Mashaba behind bars "Kgabi Nyao N you want to tell me that Luck Montana did not benefit from the 2.6 billion rands ? He is busy on twitter making noise about his appearance  "Kgabi Nyao "melds melds "Kgabi Nyao Nxa mft labantu banomhobholo bese besenza ilima bethi sithanda abelungu "Maritime Studies "dumie Ndlovu "dumie Ndlovu "Brightwell Kunene "Brightwell Kunene "Brightwell Kunene "Brightwell Kunene
Jenny B,@Pastor J.J Thank you
Cerebis,Another one giving the Commission the middle finger. Time the CC acts against Zuma.? DCJ was too soft on some ANC cadres like Zuma and others. Now he is baring some teeth and must quickly get over to biting some of these state capturers. Arrest the Attorney too. Time to cat harshly DCJ. We must also get the French to loan us a few Guillotines.  DCJ never misses Tea and lunch? "@Umar Singh Nonsense....LOL. Do I loose my ""O"" Ring because of all the Curry (NOT GUPTA CURRY) I eat?" @Ismail Petersen Why is this still necessary I think?
OS Muzik,This unfortunately falls at the feet of the dcj! You allowed this behaviour chair! "@Tommygun I concede that it is a bit harsh "The president
mafuta,yes Mfundo. He needs a red bull! "eish
lufuno shumani muloiwa,The Day Zuma goes to jail we will be all out assisting him and his RET forces to obey our laws inclufing this Mashaba man.. @Mfundo order chief😃😃 unlike abo Koko and Brian why are those other RET forces defying summons? they must come and prove to us that indeed this commission is biased. This clowns of RET forces are misinformed 🤣🤣 "@Mfundo yess but those are real looters abo Ace @Mfundo my problem exactly..how can they be radical whilst they are living large at the expense of looting state funds meant for poor ordinary SA citizens. Go to FS town its a mess😀😀😀 @Mfundo the problem started with Bongo & Mahobo for dismantling State Security as we are now vulnerable in all spheres of government. Law and order will be tough to restore in SA
Rudi Haywood,Aweh! Lolz @melds melds 
Mthoko 51cent,:elbowbump: "when is Ace "Mfundo completed how
humbulani remember,Zuma will never arrested this is SA
hirsitus,"Arrest him and Zuma yes Sir DCJ DCJ very serious now  @Lerato Moleke take leave and rest Lerato  Unleash the Law on this Charlatans DCJ "@MUSA HLUNGWANI nothing Thank you DCJ
sibongile matlala,The evidence leader might look old but very sharp! Mashaba is trying o pull Zuma's stunt!
Moffat Segal,"@Mfundo.Evidence leaders are given different workstreams like LEA @Mfundo.Apperently allegedly the younger once wanted to be paid more & the madala took the lesser amount. But I totally agree with your view. They are all taking queue from someone which is so desturbing The DCJ is now putting down his foot on the lions neck:goodvibes:
John Everitt,Mashaba = Swifambo Rail ( Now In Liquidation ) Was The Unknown Entity That Was Shovelled In To Take On The MULTI-BILLIONS Tender / Contract Scam For PRASA Afro 4000 OVER-SIZED Locomotives From Spain Evidently The SAPS + Hawks NOT Fulfilling Their Respective Constitutional Law Enforcement Mandates : Crime Syndicates In Their Own Right ! In SA : * Who Will Guard The Guards * ? Onse Oom Raymond ! ! Greetings All : Welcome To THE Most Expensive Show On Earth; Paid By Us To Entertain Others ( aka : The Travelling ANC Cadre Players Group ) .... ! ! Are Is We LATE Again ... ? ? ! R 5 Bar Kitchen : Perchance; Was Gordon Ramsay Invited To The * Big-Bash * Opening ... ? ? ! Where is Chartered Accountant Sacks .... Was He Not Meant To Carry-On With His Highly-Detailed ( Where The Money * Flowed Like A River * ) Evidence From 1000 Hrs ? Aaaah; Here We Go ! !
Thabo Seoko,Mashaba is in deep trouble here and his lawyers are to blame too Well Mashaba you can run but you will not hide....
Diana Sekatane,The quilty are afraid.. halalaaaa tenderpreneurs halalaaaa. anc is on trial here. swifambo is clearly a tenderpreneur company period.
Thanduxolo Ntshangase,they are guilty 😂😂😂😂😂😂✋
JS Bach,Arrest those that do not want to appear. Start with JZ. 
MrHellYa,People are starting to make a mockery of the commission. "Attorneys of these people should be dis barred It means to that they are also defying the law. Banana Republic!! No show admission of guilt. Judge got bigger balls than Zuma. @viure. They should be dis barred!! They are also disobeying the law.
Thobile nkosi,auswell forgets he's not zuma @Prns thought I was the only one who heard that 😩 @Lalitha C 🤣 Montana is busy being childish on Twitter. chest pains galore @Grant Langton I know! was not referring to today's testimony🙄 @Zweli Mkosana yhoooo😶😶 @NN sad hey😩 buying Porches
